name,rlvl,lvl,stars,prog,qual,dur,pdiv,qdiv,pmod,qmod,reqqual
Bronze Ingot,1,1,0,9,80,40,50,30,100,100,0
Bronze Hatchet,1,1,0,19,100,60,50,30,100,100,0
Bronze Bastard Sword,2,2,0,20,110,60,50,30,100,100,0
Amateur's File,2,2,0,20,110,60,50,30,100,100,0
Bronze Rivets,3,3,0,10,96,40,50,30,100,100,0
Bronze War Axe,3,3,0,20,120,60,50,30,100,100,0
Amateur's Pliers,3,3,0,20,120,60,50,30,100,100,0
Amateur's Awl,4,4,0,21,130,60,50,30,100,100,0
Bronze Saw,4,4,0,21,130,60,50,30,100,100,0
Amateur's Claw Hammer,5,5,0,33,150,60,50,30,100,100,0
Bronze Cross-pein Hammer,5,5,0,33,150,60,50,30,100,100,0
Bronze Doming Hammer,5,5,0,33,150,60,50,30,100,100,0
Amateur's Culinary Knife,6,6,0,36,170,60,50,30,100,100,0
Amateur's Mortar,6,6,0,36,170,60,50,30,100,100,0
Viking Sword,7,7,0,37,190,60,50,30,100,100,0
Bronze Chaser Hammer,7,7,0,37,190,60,50,30,100,100,0
Bronze Labrys,7,7,0,37,190,60,50,30,100,100,0
Bronze Pickaxe,8,8,0,41,210,60,50,30,100,100,0
Bronze Head Knife,8,8,0,41,210,60,50,30,100,100,0
Cloud Axe,9,9,0,63,172,60,50,30,100,100,0
Bronze Claw Hammer,9,9,0,42,230,60,50,30,100,100,0
Bronze File,10,10,0,45,250,60,50,30,100,100,0
Bronze Pliers,10,10,0,45,250,60,50,30,100,100,0
Bronze Mortar,10,10,0,45,250,60,50,30,100,100,0
Amateur's Cross-pein Hammer,10,10,0,45,250,60,50,30,100,100,0
Amateur's Chaser Hammer,10,10,0,45,250,60,50,30,100,100,0
Bronze Awl,11,11,0,48,270,60,50,30,100,100,0
Bronze Scythe,11,11,0,48,270,60,50,30,100,100,0
Amateur's Doming Hammer,11,11,0,48,270,60,50,30,100,100,0
Amateur's Pickaxe,11,11,0,48,270,60,50,30,100,100,0
Amateur's Head Knife,11,11,0,48,270,60,50,30,100,100,0
Bronze Culinary Knife,12,12,0,53,290,60,50,30,100,100,0
Bronze Sledgehammer,12,12,0,53,290,60,50,30,100,100,0
Amateur's Saw,12,12,0,53,290,60,50,30,100,100,0
Amateur's Hatchet,12,12,0,53,290,60,50,30,100,100,0
Bronze Ornamental Hammer,12,12,0,79,217,60,50,30,100,100,0
Bronze Knuckles,13,13,0,54,310,60,50,30,100,100,0
Bronze Spatha,13,13,0,54,310,60,50,30,100,100,0
Spiked Bronze Labrys,14,14,0,54,330,60,50,30,100,100,0
Brass Head Knife,14,14,0,81,247,60,50,30,100,100,0
Birdsbeak Hammer,15,15,0,55,360,70,50,30,100,100,0
Bronze Raising Hammer,15,15,0,55,360,70,50,30,100,100,0
Iron Ingot,16,16,0,31,312,40,50,30,100,100,0
Plumed Bronze Pickaxe,16,16,0,94,292,70,50,30,100,100,0
Brass Bastard Sword,16,16,0,94,292,70,50,30,100,100,0
Chocobotail Saw,16,16,0,94,292,70,50,30,100,100,0
Brass Knuckles,16,16,0,94,292,70,50,30,100,100,0
Iron War Axe,17,17,0,66,420,70,50,30,100,100,0
Iron Hatchet,17,17,0,66,420,70,50,30,100,100,0
Iron Labrys,17,17,0,66,420,70,50,30,100,100,0
Iron Rivets,18,18,0,33,360,40,50,30,100,100,0
Iron Cross-pein Hammer,18,18,0,67,450,70,50,30,100,100,0
Iron Chaser Hammer,18,18,0,67,450,70,50,30,100,100,0
Iron Doming Hammer,18,18,0,67,450,70,50,30,100,100,0
Iron Awl,19,19,0,68,480,70,50,30,100,100,0
Initiate's Hatchet,19,19,0,68,480,70,50,30,100,100,0
Initiate's Head Knife,19,19,0,68,480,70,50,30,100,100,0
Initiate's Sledgehammer,19,19,0,68,480,70,50,30,100,100,0
Brass Viking Sword,20,20,0,111,382,70,50,30,100,100,0
Iron Pickaxe,20,20,0,74,510,70,50,30,100,100,0
Initiate's Saw,20,20,0,74,510,70,50,30,100,100,0
Iron Claw Hammer,20,20,0,74,510,70,50,30,100,100,0
Carnage Sword,20,20,0,111,382,70,50,30,100,100,0
Iron Culinary Knife,21,21,0,75,540,70,50,30,100,100,0
Iron Scythe,21,21,0,75,540,70,50,30,100,100,0
Iron Mortar,21,21,0,75,540,70,50,30,100,100,0
Inferno Axe,21,21,0,112,405,70,50,30,100,100,0
Initiate's Cross-pein Hammer,21,21,0,75,540,70,50,30,100,100,0
Initiate's Chaser Hammer,21,21,0,75,540,70,50,30,100,100,0
Initiate's Doming Hammer,21,21,0,75,540,70,50,30,100,100,0
Iron File,22,22,0,75,570,70,50,30,100,100,0
Iron Pliers,22,22,0,75,570,70,50,30,100,100,0
Initiate's Pickaxe,22,22,0,75,570,70,50,30,100,100,0
Iron Shortsword,22,22,0,75,570,70,50,30,100,100,0
Iron Sledgehammer,23,23,0,79,600,70,50,30,100,100,0
Initiate's Awl,23,23,0,79,600,70,50,30,100,100,0
Spiked Knuckles,23,23,0,79,600,70,50,30,100,100,0
Iron Bill,24,24,0,85,630,70,50,30,100,100,0
Brass Hatchet,24,24,0,127,472,70,50,30,100,100,0
Bas-relief Iron Saw,24,24,0,85,630,70,50,30,100,100,0
Initiate's Claw Hammer,24,24,0,85,630,70,50,30,100,100,0
Initiate's Mortar,24,24,0,85,630,70,50,30,100,100,0
Iron Round Knife,25,25,0,89,660,70,50,30,100,100,0
Iron Spatha,25,25,0,89,660,70,50,30,100,100,0
Initiate's Culinary Knife,25,25,0,89,660,70,50,30,100,100,0
Initiate's Scythe,25,25,0,89,660,70,50,30,100,100,0
Steel Ingot,26,26,0,45,552,40,50,30,100,100,0
Iron Ornamental Hammer,26,26,0,135,517,70,50,30,100,100,0
Iron Raising Hammer,26,26,0,90,690,70,50,30,100,100,0
Crowsbeak Hammer,26,26,0,90,690,70,50,30,100,100,0
Thunderstorm Axe,26,26,0,135,517,70,50,30,100,100,0
Initiate's File,27,27,0,91,720,70,50,30,100,100,0
Initiate's Pliers,27,27,0,91,720,70,50,30,100,100,0
Iron Dolabra,27,27,0,91,720,70,50,30,100,100,0
Steel Broadsword,28,28,0,100,760,70,50,30,100,100,0
Iron Chocobotail Saw,28,28,0,100,760,70,50,30,100,100,0
Spiked Steel Labrys,28,28,0,100,760,70,50,30,100,100,0
Steel Rivets,29,29,0,50,640,40,50,30,100,100,0
Iron Head Knife,29,29,0,101,800,70,50,30,100,100,0
Plumed Iron Hatchet,29,29,0,101,800,70,50,30,100,100,0
Heavy Crowsbeak Hammer,29,29,0,151,600,70,50,30,100,100,0
Steel Claws,29,29,0,101,800,70,50,30,100,100,0
Wrapped Iron Raising Hammer,29,29,0,151,600,70,50,30,100,100,0
Steel Chaser Hammer,30,30,0,102,850,70,50,30,100,100,0
Steel Pickaxe,30,30,0,102,850,70,50,30,100,100,0
Steel Sledgehammer,30,30,0,102,850,70,50,30,100,100,0
Silver Head Knife,30,30,0,153,637,70,50,30,100,100,0
Bas-relief Steel Saw,30,30,0,102,850,70,50,30,100,100,0
Steel Awl,31,31,0,106,900,80,50,30,100,100,0
Steel Claw Hammer,31,31,0,106,900,80,50,30,100,100,0
Steel Falchion,31,31,0,106,900,80,50,30,100,100,0
Steel Culinary Knife,32,32,0,110,950,80,50,30,100,100,0
Steel Bardiche,32,32,0,110,950,80,50,30,100,100,0
Steel Mortar,32,32,0,110,950,80,50,30,100,100,0
Steel Cross-pein Hammer,32,32,0,110,950,80,50,30,100,100,0
Steel Ornamental Hammer,32,32,0,110,950,80,50,30,100,100,0
Steel Scythe,33,33,0,111,1000,80,50,30,100,100,0
Wrapped Steel Sledgehammer,33,33,0,166,750,80,50,30,100,100,0
Plumed Steel Hatchet,35,35,0,123,1110,80,50,30,100,100,0
Steel Dolabra,33,33,0,111,1000,80,50,30,100,100,0
Steel File,34,34,0,115,1050,80,50,30,100,100,0
Steel Doming Hammer,34,34,0,115,1050,80,50,30,100,100,0
Steel Crowsbeak Hammer,34,34,0,115,1050,80,50,30,100,100,0
Steel Hatchet,33,33,0,111,1000,80,50,30,100,100,0
Steel Pliers,35,35,0,123,1110,80,50,30,100,100,0
Crosscut Saw,35,35,0,123,1110,80,50,30,100,100,0
Steel Bhuj,35,35,0,123,1110,80,50,30,100,100,0
Wrapped Steel Culinary Knife,35,35,0,123,1110,80,50,30,100,100,0
Heavy Steel Mortar,35,35,0,184,832,80,50,30,100,100,0
Wrapped Steel Scythe,35,35,0,184,832,80,50,30,100,100,0
Steel Round Knife,36,36,0,124,1160,80,50,30,100,100,0
Wrapped Steel Claw Hammer,36,36,0,186,870,80,50,30,100,100,0
Wrapped Steel Awl,36,36,0,186,870,80,50,30,100,100,0
Steel Longsword,37,37,0,128,1220,80,50,30,100,100,0
Mythril Ingot,38,38,0,64,1024,40,50,30,100,100,0
Plumed Mythril Pickaxe,38,38,0,129,1280,80,50,30,100,100,0
Mythril Broadsword,38,38,0,129,1280,80,50,30,100,100,0
Mythril Hatchet,38,38,0,129,1280,80,50,30,100,100,0
Mythril Rivets,39,39,0,68,1072,40,50,30,100,100,0
Spiked Mythril Labrys,39,39,0,137,1340,80,50,30,100,100,0
Mythril Claws,39,39,0,137,1340,80,50,30,100,100,0
Mythril Head Knife,39,39,0,137,1340,80,50,30,100,100,0
Mythril Saw,39,39,0,137,1340,80,50,30,100,100,0
Mythril Ornamental Hammer,40,40,0,138,1400,80,50,30,100,100,0
Mythril Bhuj,40,40,0,138,1400,80,50,30,100,100,0
Mythril Awl,40,40,0,138,1400,80,50,30,100,100,0
Mythril Claw Hammer,40,40,0,138,1400,80,50,30,100,100,0
Mythril File,40,40,0,138,1400,80,50,30,100,100,0
Mythril Culinary Knife,41,41,0,143,1460,80,50,30,100,100,0
Mythril Scythe,41,41,0,143,1460,80,50,30,100,100,0
Mythril Mortar,41,41,0,143,1460,80,50,30,100,100,0
Mythril Sledgehammer,41,41,0,143,1460,80,50,30,100,100,0
Cobalt Ingot,42,42,0,72,1216,40,50,30,100,100,0
Mythril Pliers,42,42,0,144,1520,80,50,30,100,100,0
Cobalt Rivets,43,43,0,77,1264,40,50,30,100,100,0
Cobalt Katzbalger,42,42,0,144,1520,80,50,30,100,100,0
Cobalt Knuckles,42,42,0,144,1520,80,50,30,100,100,0
Cobalt Shamshir,43,43,0,155,1580,80,50,30,100,100,0
Buccaneer's Bardiche,43,43,0,155,1580,80,50,30,100,100,0
Demilune Bhuj,45,45,0,158,1700,80,50,30,100,100,0
Wrapped Hawksbeak Hammer,45,45,0,237,1275,80,50,30,100,100,0
Bas-relief Cobalt Saw,46,46,0,159,1760,80,50,30,100,100,0
Electrum Head Knife,46,46,0,159,1760,80,50,30,100,100,0
Electrum Lapidary Hammer,47,47,0,167,1820,80,50,30,100,100,0
Cobalt Raising Hammer,47,47,0,167,1820,80,50,30,100,100,0
Egret Dolabra,48,48,0,172,1880,80,50,30,100,100,0
Horned Hatchet,49,49,0,174,1940,80,50,30,100,100,0
Cobalt Winglet,49,49,0,174,1940,80,50,30,100,100,0
Cobalt Claws,49,49,0,174,1940,80,50,30,100,100,0
Bronze Ingot,1,1,0,9,80,40,50,30,100,100,0
Bronze Rivets,2,2,0,10,88,40,50,30,100,100,0
Bronze Rings,2,2,0,10,88,40,50,30,100,100,0
Bronze Plate,3,3,0,10,96,40,50,30,100,100,0
Bronze Alembic,3,3,0,20,120,60,50,30,100,100,0
Bronze Skillet,4,4,0,21,130,60,50,30,100,100,0
Bronze Hoplon,5,5,0,33,150,60,50,30,100,100,0
Bronze Haubergeon,6,6,0,36,170,60,50,30,100,100,0
Bronze Sollerets,7,7,0,37,190,60,50,30,100,100,0
Bronze Chain Coif,8,8,0,41,210,60,50,30,100,100,0
Bronze Sallet,8,8,0,41,210,60,50,30,100,100,0
Bronze Mitt Gauntlets,9,9,0,42,230,60,50,30,100,100,0
Amateur's Alembic,9,9,0,42,230,60,50,30,100,100,0
Bronze Barbut,10,10,0,45,250,60,50,30,100,100,0
Bronze Scutum,10,10,0,45,250,60,50,30,100,100,0
Amateur's Skillet,11,11,0,48,270,60,50,30,100,100,0
Bronze Cuirass,12,12,0,53,290,60,50,30,100,100,0
Bronze Celata,12,12,0,53,290,60,50,30,100,100,0
Iron Ingot,13,13,0,27,248,40,50,30,100,100,0
Bronze Sabatons,13,13,0,54,310,60,50,30,100,100,0
Iron Rivets,14,14,0,27,264,40,50,30,100,100,0
Iron Plate,14,14,0,27,264,40,50,30,100,100,0
